date,ticker,ret5,ret20,ma_bias,vol20,volr,label
2022-02-09,台積電,-0.0306,0.0032,-0.0253,0.0168,0.6133,1
2022-02-09,台達電,-0.0092,-0.0443,-0.0286,0.0172,0.7908,0
2022-02-09,鴻海,0.034,0.034,0.0206,0.0163,0.644,0
2022-02-09,廣達,0.0181,0.0213,0.0277,0.0074,1.5251,0
2022-02-09,中華電,0.0128,0.026,0.0135,0.0039,1.1811,1
2022-02-09,富邦金,0.0078,0.0239,-0.0062,0.0151,0.6389,1
2022-02-09,國泰金,0.0264,0.0714,0.0214,0.0176,0.5087,0
2022-02-09,聯發科,0.0367,-0.0174,0.0247,0.0212,1.2094,1
2022-02-10,中華電,0.0214,0.0346,0.0203,0.0042,1.045,0
2022-02-10,富邦金,0.0252,0.0279,-0.0037,0.0151,0.5219,0
2022-02-10,鴻海,0.034,0.029,0.0191,0.0163,0.5687,0
2022-02-10,廣達,0.0215,0.016,0.0194,0.0076,0.9404,0
2022-02-10,台達電,0.0019,-0.0926,-0.0237,0.0113,0.8865,0
2022-02-10,台積電,0.0125,-0.0107,-0.0001,0.0153,0.7398,1
2022-02-10,國泰金,0.0444,0.0613,0.0154,0.0177,0.4744,0
2022-02-10,聯發科,0.0691,-0.0043,0.0522,0.0219,1.2858,0
2022-02-11,台積電,0.022,0.0,0.0015,0.0151,0.5991,0
2022-02-11,富邦金,0.0225,0.0211,-0.006,0.0151,0.4938,0
2022-02-11,聯發科,0.0698,-0.0213,0.0443,0.0218,0.7598,0
2022-02-11,台達電,-0.0093,-0.0861,-0.0338,0.0108,1.2405,0
2022-02-11,廣達,0.0097,0.0032,0.0063,0.0082,0.6593,0
2022-02-11,鴻海,0.0392,-0.0275,0.0158,0.0108,0.5718,0
2022-02-11,中華電,0.017,0.0346,0.0185,0.0042,0.8266,1
2022-02-11,國泰金,0.0363,0.0598,0.0094,0.0177,0.3324,0
2022-02-14,聯發科,0.0045,-0.0264,0.0048,0.0223,0.8447,0
2022-02-14,鴻海,0.0097,-0.028,-0.0019,0.0109,0.8054,0
2022-02-14,國泰金,-0.0228,0.0355,-0.0138,0.0185,0.8407,1
2022-02-14,中華電,0.0127,0.039,0.0208,0.0043,0.9244,0
2022-02-14,富邦金,-0.013,0.0026,-0.0215,0.0155,0.5527,1
2022-02-14,台達電,-0.0554,-0.1203,-0.0624,0.0128,1.2417,0
2022-02-14,台積電,0.0031,-0.0109,-0.018,0.0157,0.6421,0
2022-02-14,廣達,-0.0117,-0.0075,-0.0062,0.0086,0.7119,0
2022-02-15,鴻海,-0.0142,-0.0235,-0.0007,0.0109,0.508,1
2022-02-15,中華電,0.0169,0.039,0.0189,0.0043,0.8038,1
2022-02-15,台積電,0.008,-0.0016,-0.0241,0.0153,0.5167,1
2022-02-15,廣達,-0.0191,-0.0065,-0.008,0.0086,0.4612,1
2022-02-15,富邦金,-0.0026,0.0119,-0.0157,0.0156,0.6919,1
2022-02-15,國泰金,-0.0258,0.0371,-0.014,0.0185,0.4938,1
2022-02-15,聯發科,0.0046,0.0,0.0002,0.0212,0.5255,1
2022-02-15,台達電,-0.0576,-0.1042,-0.0666,0.0118,1.4,1
2022-02-16,台達電,-0.0408,-0.0882,-0.0437,0.013,0.759,1
2022-02-16,廣達,-0.024,0.0097,0.0023,0.0089,0.8191,0
2022-02-16,富邦金,0.0091,0.0183,-0.0012,0.0158,0.6957,1
2022-02-16,聯發科,0.0,0.032,0.0259,0.022,0.4861,0
2022-02-16,鴻海,-0.0094,0.0096,0.0132,0.0105,0.5281,1
2022-02-16,中華電,0.0211,0.0386,0.0254,0.0042,1.0916,1
2022-02-16,國泰金,-0.0182,0.0435,-0.0084,0.0186,0.4723,0
2022-02-16,台積電,0.0205,0.0047,-0.0043,0.0157,0.6017,0
2022-02-17,鴻海,-0.0047,0.0144,0.0173,0.0106,1.0024,0
2022-02-17,聯發科,-0.0259,0.0463,0.0236,0.0217,0.5094,0
2022-02-17,廣達,-0.0189,0.0119,-0.0005,0.0088,0.7668,1
2022-02-17,台積電,-0.0062,-0.0092,-0.0054,0.0154,0.4411,0
2022-02-17,國泰金,-0.0167,0.0031,-0.0101,0.0165,0.5905,0
2022-02-17,台達電,-0.0315,-0.0906,-0.0298,0.0128,0.8504,1
2022-02-17,中華電,0.0167,0.0429,0.0275,0.0042,1.4759,1
2022-02-17,富邦金,0.0103,-0.0213,0.0051,0.0119,0.9056,0
2022-02-18,廣達,0.0053,0.0261,0.01,0.0091,0.6492,1
2022-02-18,國泰金,-0.0152,-0.0015,-0.0116,0.0165,0.495,0
2022-02-18,台積電,-0.02,-0.0348,-0.016,0.0153,0.5174,0
2022-02-18,聯發科,-0.0261,0.0323,0.0129,0.0218,0.4254,1
2022-02-18,鴻海,-0.0047,0.0096,0.012,0.0107,0.4522,1
2022-02-18,中華電,0.0209,0.0427,0.0295,0.0042,1.4897,1
2022-02-18,富邦金,0.0065,-0.0275,0.0014,0.0119,0.443,0
2022-02-18,台達電,-0.0151,-0.0727,-0.0243,0.0126,0.4321,0
2022-02-21,中華電,0.0292,0.0511,0.0396,0.0048,1.0934,0
2022-02-21,富邦金,0.0197,-0.049,0.0014,0.0108,0.4997,0
2022-02-21,國泰金,0.0062,-0.0415,-0.0094,0.0133,0.4491,0
2022-02-21,聯發科,0.0226,0.0273,0.0205,0.0217,0.5343,0
2022-02-21,台積電,-0.0078,-0.0439,-0.0215,0.0153,0.6026,0
2022-02-21,台達電,0.0156,-0.0614,-0.0268,0.0121,0.4182,0
2022-02-21,廣達,0.0227,0.0271,0.0129,0.0092,0.7028,1
2022-02-21,鴻海,0.0192,0.0047,0.0165,0.0105,0.93,0
2022-02-22,國泰金,-0.0093,-0.0591,-0.0202,0.0134,0.9239,0
2022-02-22,台積電,-0.0095,-0.067,-0.0259,0.0147,0.9354,0
2022-02-22,富邦金,-0.0013,-0.0485,-0.0103,0.0107,1.1912,0
2022-02-22,聯發科,0.0091,0.0423,0.0005,0.0208,0.827,1
2022-02-22,台達電,0.0138,-0.0534,-0.0354,0.0117,0.8408,1
2022-02-22,廣達,0.026,0.0249,0.0128,0.0092,1.1865,0
2022-02-22,鴻海,0.0048,0.0097,0.0017,0.0101,1.0552,1
2022-02-22,中華電,0.0292,0.0511,0.0369,0.0048,1.5813,1
2022-02-23,台達電,0.0019,-0.053,-0.0252,0.0117,0.6232,0
2022-02-23,富邦金,-0.0167,-0.0304,-0.0088,0.0101,0.6753,0
2022-02-23,台積電,-0.0325,-0.0849,-0.0246,0.014,0.9115,0
2022-02-23,中華電,0.0372,0.0726,0.05,0.0054,2.0363,0
2022-02-23,鴻海,-0.0047,0.0145,0.0057,0.0101,0.593,0
2022-02-23,廣達,0.0096,0.0261,0.0061,0.0091,0.6082,0
2022-02-23,聯發科,-0.0088,0.0045,0.0092,0.018,0.6275,0
2022-02-23,國泰金,-0.017,-0.0421,-0.0181,0.013,0.5467,0
2022-02-24,中華電,0.0247,0.0596,0.0386,0.006,1.9774,0
2022-02-24,廣達,-0.0139,-0.0161,-0.0187,0.0102,2.0506,1
2022-02-24,富邦金,-0.0294,-0.0441,-0.0143,0.01,1.7288,0
2022-02-24,台積電,-0.0636,-0.0876,-0.0531,0.0143,2.0149,0
2022-02-24,鴻海,-0.033,-0.0097,-0.0177,0.0115,1.8113,1
2022-02-24,聯發科,-0.0619,-0.0407,-0.0429,0.0217,1.3582,1
2022-02-24,台達電,-0.0287,-0.0748,-0.0422,0.0123,1.1676,0
2022-02-24,國泰金,-0.0263,-0.0583,-0.026,0.013,1.3934,0
2022-02-25,富邦金,-0.0347,-0.047,-0.0224,0.0101,2.1244,1
2022-02-25,台積電,-0.0518,-0.0765,-0.0493,0.0142,2.2829,0
2022-02-25,國泰金,-0.0356,-0.0575,-0.034,0.0129,1.9293,1
2022-02-25,鴻海,-0.0237,-0.0048,-0.0127,0.0116,1.1213,1
2022-02-25,聯發科,-0.0313,-0.0136,-0.0197,0.0224,1.1999,1
2022-02-25,中華電,0.0205,0.0641,0.0353,0.0058,1.8562,0
2022-02-25,廣達,-0.0148,-0.0054,-0.0077,0.0105,1.5232,1
2022-02-25,台達電,-0.0574,-0.1036,-0.0636,0.0133,2.4702,1
2022-03-01,鴻海,-0.0142,0.0146,0.001,0.012,1.0928,0
2022-03-01,國泰金,-0.031,-0.0486,-0.0269,0.013,0.8913,0
2022-03-01,中華電,0.0081,0.0687,0.0319,0.0056,1.3901,0
2022-03-01,富邦金,-0.018,-0.0268,-0.0067,0.0107,1.161,0
2022-03-01,台達電,-0.0135,-0.0587,-0.0227,0.0167,1.4685,0
2022-03-01,廣達,-0.0095,0.0108,0.0013,0.0106,0.8522,0
2022-03-01,台積電,-0.0443,-0.0722,-0.0458,0.0142,1.6679,0
2022-03-01,聯發科,-0.0265,0.0092,-0.0065,0.0225,0.9158,0
2022-03-02,台達電,-0.0078,-0.0642,-0.0251,0.0167,0.9565,1
2022-03-02,富邦金,-0.0118,-0.0143,-0.0138,0.0099,0.7995,0
2022-03-02,鴻海,0.0,0.0245,-0.0002,0.0117,0.5417,0
2022-03-02,中華電,0.0,0.0556,0.0209,0.0061,1.5188,0
2022-03-02,國泰金,-0.0267,-0.0373,-0.0344,0.0124,0.6749,1
2022-03-02,廣達,-0.0169,0.0032,-0.0052,0.0108,0.8205,1
2022-03-02,聯發科,-0.027,0.0093,-0.0251,0.0225,0.6253,0
2022-03-02,台積電,-0.0415,-0.0624,-0.0475,0.0139,1.0287,1
2022-03-03,聯發科,-0.0357,-0.0092,-0.0246,0.0221,0.6612,0
2022-03-03,台達電,-0.0116,-0.0588,-0.0183,0.0168,1.0128,0
2022-03-03,富邦金,-0.0118,-0.0118,-0.0132,0.0099,0.4595,0
2022-03-03,廣達,-0.0074,-0.0043,-0.0007,0.0105,0.44,0
2022-03-03,台積電,-0.0368,-0.0781,-0.0421,0.013,0.8689,0
2022-03-03,鴻海,-0.0048,0.0146,-0.001,0.0116,0.5738,1
2022-03-03,中華電,-0.0239,0.047,0.0103,0.0066,1.1163,1
2022-03-03,國泰金,-0.0251,-0.0342,-0.0312,0.0124,0.4997,0
2022-03-04,廣達,0.0109,-0.0011,-0.0082,0.0103,0.7885,0
2022-03-04,聯發科,-0.033,-0.0553,-0.0718,0.0248,1.0718,0
2022-03-04,富邦金,-0.0198,-0.0146,-0.0282,0.0101,1.5248,0
2022-03-04,台達電,0.0039,-0.0539,-0.0213,0.0167,0.5281,0
2022-03-04,鴻海,0.0244,0.0194,0.0029,0.0116,0.7826,0
2022-03-04,中華電,-0.012,0.0513,0.0119,0.0065,0.8143,0
2022-03-04,國泰金,-0.0286,-0.0286,-0.0439,0.012,0.8842,0
2022-03-04,台積電,-0.0149,-0.0718,-0.0497,0.0127,1.4311,0
2022-03-07,富邦金,-0.0453,-0.0516,-0.0611,0.0128,2.3804,0
2022-03-07,台達電,0.002,-0.0784,-0.0463,0.0178,1.3801,0
2022-03-07,鴻海,-0.0049,0.0049,-0.0212,0.0127,1.8142,0
2022-03-07,聯發科,-0.1041,-0.0958,-0.1156,0.0271,1.748,0
2022-03-07,廣達,-0.0215,-0.0215,-0.0285,0.0114,1.7296,0
2022-03-07,國泰金,-0.0465,-0.0616,-0.0692,0.0135,1.9485,0
2022-03-07,中華電,-0.0281,0.0298,-0.006,0.0078,1.6506,1
2022-03-07,台積電,-0.0464,-0.0943,-0.0757,0.0142,2.0644,0
2022-03-08,廣達,-0.0448,-0.0438,-0.0403,0.0115,1.9284,0
2022-03-08,台達電,-0.0819,-0.131,-0.0845,0.0198,2.0219,1
2022-03-08,中華電,-0.0201,0.0295,0.0008,0.0077,1.1363,1
2022-03-08,鴻海,-0.0287,-0.0146,-0.0301,0.0126,2.3715,0
2022-03-08,台積電,-0.0679,-0.1134,-0.0913,0.0147,1.8375,1
2022-03-08,富邦金,-0.0735,-0.0843,-0.0715,0.012,2.1289,1
2022-03-08,聯發科,-0.1245,-0.1245,-0.1183,0.0263,1.3062,1
2022-03-08,國泰金,-0.0655,-0.1096,-0.0781,0.0096,1.9276,1
2022-03-09,鴻海,-0.0287,-0.0379,-0.0282,0.0112,1.1811,1
2022-03-09,台積電,-0.0549,-0.0955,-0.0787,0.015,1.1954,1
2022-03-09,聯發科,-0.1056,-0.1178,-0.1103,0.0264,1.1083,1
2022-03-09,國泰金,-0.0484,-0.1061,-0.0651,0.0099,0.6993,1
2022-03-09,廣達,-0.044,-0.0541,-0.043,0.0114,1.4339,1
2022-03-09,富邦金,-0.0516,-0.0664,-0.0539,0.0128,0.9593,1
2022-03-09,台達電,-0.0529,-0.1022,-0.0561,0.021,1.0097,1
2022-03-09,中華電,-0.0081,0.0381,0.0031,0.0076,0.4642,1
2022-03-10,聯發科,-0.0787,-0.1195,-0.0779,0.0263,1.1002,0
2022-03-10,鴻海,-0.0144,-0.0329,-0.0122,0.0115,1.008,1
2022-03-10,廣達,-0.0107,-0.0324,-0.0038,0.0143,1.4288,0
2022-03-10,中華電,0.0041,0.038,0.0053,0.0076,0.5701,0
